"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance"
347.076566101288,1758461.88889132,5.40183333333333,"C18H10N4O4","N4O4","CHNO",18,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,346.069289649128,347.07748128996,-2.64452437597087,2.64,347,346.689017306941,0.310982693058918,16,0.222222222222222,0.555555555555556,12,26.6207849875231,26,1,38,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",2332.04777895011,0.163757205145835
351.099529552953,9727.40816190385,7.9278,"C17H19O6P","O6P","CHOP",17,19,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350.092253100793,351.09920128206,0.937669685633565,0.94,351,350.707488681677,0.29251131832342,9,0.352941176470588,1.11764705882353,3,26.9301480638385,24,0.9,36,0.5,0,0,0,0,0,0,0,0,0,"Ambiguous",12.9003538502682,0.000905867328697396
351.099529552953,9727.40816190385,7.9278,"C18H15N4O2P","N4O2P","CHNOP",18,15,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350.092253100793,351.10053869486,-2.88250282080367,2.88,351,350.707488681677,0.29251131832342,14,0.111111111111111,0.833333333333333,12,26.9302509417462,25,0.9,38,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",12.9003538502682,0.000905867328697396
359.111769303186,304871.477699382,4.36498333333333,"C19H18O7","O7","CHO",19,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.104492851026,359.11252938246,-2.12250694673165,2.12,359,358.710781893427,0.28921810657323,11,0.368421052631579,0.947368421052632,4,27.5465579177154,26,0.9,40,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",404.316327197935,0.0283912329474529
359.111769303186,304871.477699382,4.36498333333333,"C13H19N4O6P","N4O6P","CHNOP",13,19,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.104492851026,359.11149731166,0.759531175014888,0.76,359,358.710781893427,0.28921810657323,7,0.461538461538462,1.46153846153846,1,27.5464785276538,24,0.9,28,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",404.316327197935,0.0283912329474529
361.092262536774,6140347.59717844,6.01283333333333,"C18H16O8","O8","CHO",18,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,360.084986084614,361.09179394096,1.30134782674296,1.3,361,360.689063690577,0.310936309422914,11,0.444444444444444,0.888888888888889,3,27.6988090376,26,0.9,38,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",8143.24385785233,0.571821412502633
361.092262536774,6140347.59717844,6.01283333333333,"C19H12N4O4","N4O4","CHNO",19,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,360.084986084614,361.09313135376,-2.41281091826521,2.41,361,360.689063690577,0.310936309422914,16,0.210526315789474,0.631578947368421,12,27.6989119155077,27,1,40,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",8143.24385785233,0.571821412502633
365.173198389707,9817.55815179285,9.558,"C17H25N4O3P","N4O3P","CHNOP",17,25,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,364.165921937547,365.17370363616,-1.3874072855858,1.39,365,364.765442734079,0.234557265921012,8,0.176470588235294,1.47058823529412,5,28.0128020910769,25,0.9,36,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",13.019909517082,0.000914262569152368
365.173198389707,9817.55815179285,9.558,"C16H29O7P","O7P","CHOP",16,29,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,364.165921937547,365.17236622336,2.28512965263115,2.29,365,364.765442734079,0.234557265921012,3,0.4375,1.8125,-4,28.0126992131692,24,0.9,34,0.9,0,0,0,0,0,0,0,0,0,"Ambiguous",13.019909517082,0.000914262569152368
366.155562324865,10808.8482758094,1.43095,"C19H19N5O3","N5O3","CHNO",19,19,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365.148285872705,366.15606596216,-1.37926786020206,1.38,366,365.746709752891,0.25329024710868,13,0.157894736842105,1,10,28.0883684238462,27,1,40,0.5,0,0,0,0,0,0,0,0,0,"Ambiguous",14.3345447369931,0.00100657671097319
366.155562324865,10808.8482758094,1.43095,"C18H23NO7","NO7","CHNO",18,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365.148285872705,366.15472854936,2.28338879671171,2.28,366,365.746709752891,0.25329024710868,8,0.388888888888889,1.27777777777778,1,28.0882655459385,26,0.9,38,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",14.3345447369931,0.00100657671097319
382.150553434907,103482.268986411,1.02276666666667,"C19H19N5O4","N5O4","CHNO",19,19,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381.143276982747,382.15098058446,-1.12070598775308,1.12,382,381.723840712967,0.276159287032613,13,0.210526315789474,1,9,29.3187464717154,28,1,40,0.5,0,0,0,0,0,0,0,0,0,"Ambiguous",137.236750523282,0.00963681229511792
382.150553434907,103482.268986411,1.02276666666667,"C18H23NO8","NO8","CHNO",18,23,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381.143276982747,382.14964317166,2.38824426985834,2.39,382,381.723840712967,0.276159287032613,8,0.444444444444444,1.27777777777778,0,29.3186435938077,27,0.9,38,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",137.236750523282,0.00963681229511792
387.194261150374,37308.625660189,7.47551666666667,"C20H27N4O2P","N4O2P","CHNOP",20,27,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,386.186984698214,387.19443907766,-0.460728333416342,0.46,387,386.761916579341,0.238083420659166,10,0.1,1.35,8,29.7067048173462,27,0.9,42,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",49.4781821295999,0.00347437513689688
