"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance","charge"
554.514114895333,172730.129094193,13.3261333333333,"C34H67NO4","NO4","CHNO",34,67,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,553.506838443173,554.51428608606,-0.309283851357318,0.31,554,553.894939480842,0.105060519157973,2,0.117647058823529,1.97058823529412,-2,42.5774622795308,39,0.9,70,1,0,0,0,0,0,0,0,0,0,"Unambiguous",229.072302593858,0.0160855366633951,1
325.142442004578,172374.987423641,6.15653333333333,"C14H21N4O3P","N4O3P","CHNOP",14,21,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324.135165552418,325.14240350856,0.118765324024174,0.12,325,324.779385049148,0.220614950851996,7,0.214285714285714,1.5,4,24.9334713120308,22,0.9,30,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",228.60131863381,0.0160524640061099,1
970.768735955666,170738.035564218,10.39205,"C59H103NO9","NO9","CHNO",59,103,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,969.761459503506,970.77056034596,-1.88127737555594,1.88,970,969.684766912653,0.315233087346655,9,0.152542372881356,1.74576271186441,0,74.5971756841384,69,0.9,120,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",226.43041577141,0.0159000224529828,1
610.54025986443,170621.05917794,13.49365,"C37H71NO5","NO5","CHNO",37,71,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,609.53298341227,610.54050083596,-0.395337965727888,0.4,610,609.858525155952,0.141474844047707,3,0.135135135135135,1.91891891891892,-2,46.8871711064462,43,0.9,76,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",226.275283309607,0.015889128997625,1
537.28640869805,170317.971823551,8.23901666666667,"C24H46N2O7P2","N2O7P2","CHNOP",24,46,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,536.27913224589,537.28530127046,2.06502085007016,2.07,537,536.686469894203,0.313530105796531,4,0.291666666666667,1.91666666666667,-3,41.2521557552538,35,0.8,50,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",225.87333306201,0.015860903911609,1
388.159509208159,169813.456239793,4.60568333333333,"C17H25NO9","NO9","CHNO",17,25,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,387.152232755999,388.16020785776,-1.80458626296128,1.8,388,387.726086832521,0.273913167478725,6,0.529411764705882,1.47058823529412,-3,29.7809947235077,27,0.9,36,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",225.204251489084,0.0158139207711323,1
637.222979219009,169792.409578069,5.6337,"C29H36N2O14","N2O14","CHNO",29,36,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,636.215702766849,637.22393032756,-1.49494667731593,1.49,637,636.511450347727,0.488549652272582,13,0.482758620689655,1.24137931034483,-1,48.9397426058,45,0.9,60,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",225.176339698082,0.0158119607954721,1
303.232755452427,168361.391452317,8.58288333333333,"C20H30O2","O2","CHO",20,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.225479000267,303.23185665376,2.97393412989909,2.97,303,302.894163048733,0.105836951266838,6,0.1,1.5,4,23.2480446308923,22,0.9,42,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",223.278543298354,0.0156786968730257,1
581.235741241019,166235.791565248,6.17416666666667,"C27H36N2O12","N2O12","CHNO",27,36,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.228464788859,581.23410108296,2.82674525424084,2.83,581,580.586728219831,0.413271780169339,11,0.444444444444444,1.33333333333333,-1,44.6328326639077,41,0.9,56,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",220.459602195968,0.0154807498495709,1
501.158649693441,163917.007318287,5.24313333333333,"C16H29N4O12P","N4O12P","CHNOP",16,29,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500.151373241281,501.15923536446,-1.17098752586476,1.17,501,500.59905146805,0.400948531950178,5,0.75,1.8125,-7,38.4732276086385,33,0.9,34,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",217.384462673667,0.0152648124840714,1
269.153751154109,163690.156583303,7.83081666666667,"C18H20O2","O2","CHO",18,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.146474701949,269.15360633476,0.540075529105417,0.54,269,268.853211671063,0.146788328937362,9,0.111111111111111,1.11111111111111,7,20.6266407602,20,1,38,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",217.083616373832,0.0152436869523889,1
458.186857532454,163312.255910251,1.98018333333333,"C17H31NO13","NO13","CHNO",17,31,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,457.179581080294,458.18681653836,0.0896673772745603,0.09,458,457.675241994082,0.324758005918,3,0.764705882352941,1.82352941176471,-10,35.1676569297077,31,0.9,36,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",216.582449740184,0.0152084948572786,1
633.484131460266,163243.040646041,9.81633333333333,"C37H64N2O6","N2O6","CHNO",37,64,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,632.476855008106,633.48371424236,0.659657192487667,0.66,633,632.776777419794,0.223222580206425,7,0.162162162162162,1.72972972972973,1,48.6520336761692,45,0.9,76,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",216.490657416341,0.0152020491684115,1
243.134209538209,163135.299858922,3.53976666666667,"C11H18N2O4","N2O4","CHNO",11,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242.126933086049,243.13393353036,1.1399303886052,1.14,243,242.862723707778,0.137276292221571,4,0.363636363636364,1.63636363636364,0,18.6251274675538,17,0.9,24,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",216.347773078108,0.0151920157805455,1
404.20680731221,162752.891362922,5.79241666666667,"C22H29NO6","NO6","CHNO",22,29,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,403.19953086005,404.20676411846,0.107127480240349,0.11,404,403.755466380149,0.244533619850927,9,0.272727272727273,1.31818181818182,3,31.0153452051,29,0.9,46,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",215.840628232159,0.0151564038932907,1
325.196222758255,162439.69931946,6.1389,"C13H28N2O7","N2O7","CHNO",13,28,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324.188946306095,325.19692771626,-2.17452819705758,2.17,325,324.833105750755,0.166894249244933,1,0.538461538461538,2.15384615384615,-6,24.9376654818538,22,0.9,28,1,0,0,0,0,0,0,0,0,0,"Unambiguous",215.425277285997,0.0151272378055664,1
299.12748244544,161776.615413769,6.50921666666667,"C18H18O4","O4","CHO",18,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298.12020599328,299.12778551556,-1.01660375145926,1.02,299,298.793474026261,0.20652597373919,10,0.222222222222222,1,6,22.9323468510308,22,1,38,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",214.545904602806,0.0150654879502758,1
581.270783402959,160556.897952728,10.28625,"C28H40N2O11","N2O11","CHNO",28,40,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.263506950799,581.27048658826,0.511517086466916,0.51,581,580.621731253379,0.378268746621188,10,0.392857142857143,1.42857142857143,-1,44.6356315489308,41,0.9,58,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",212.928332215291,0.0149519014553114,1
641.135147028022,160484.034591616,4.27681666666667,"C27H28O18","O18","CHO",27,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,640.127870575862,641.13484054676,0.478781312591219,0.48,641,640.419249795215,0.580750204784749,14,0.666666666666667,1.03703703703704,-4,49.2405818534308,45,0.9,56,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",212.831701835911,0.0149451160365038,1
489.227390482962,160267.821186027,7.21981666666667,"C30H32O6","O6","CHO",30,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.220114030802,489.22716520676,0.46142343454808,0.46,489,488.681114808194,0.318885191805919,15,0.2,1.06666666666667,9,37.5553760580461,36,1,62,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",212.544962614852,0.0149249811087934,1
488.191328851819,159481.739645588,7.95426666666667,"C25H29NO9","NO9","CHNO",25,29,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,487.184052399659,488.19150798536,-0.367691718029827,0.37,488,487.646210052724,0.353789947275914,12,0.36,1.16,3,37.4757101179385,35,0.9,52,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",211.502472173612,0.0148517770678687,1
317.247833202105,159442.855121474,9.06163333333333,"C21H32O2","O2","CHO",21,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.240556749945,317.24750671756,1.03239302455858,1.03,317,316.893591437391,0.10640856260909,6,0.0952380952380952,1.52380952380952,4,24.3261715588769,23,0.9,44,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",211.4509040568,0.0148481559367924,1
193.086243221412,159389.804504085,3.41633333333333,"C11H12O3","O3","CHO",11,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192.078966769252,193.08592070186,1.67909874485062,1.68,193,192.870641397279,0.129358602721368,6,0.272727272727273,1.09090909090909,3,14.7752803269,14,0.9,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",211.380549063476,0.0148432155847212,1
300.18176305514,159304.831000573,3.78045,"C16H21N5O","N5O","CHNO",16,21,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,299.17448660298,300.18188678136,-0.413558727412524,0.41,300,299.846577416813,0.153422583186625,9,0.0625,1.3125,8,23.0134315637846,22,1,34,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",211.267858381132,0.0148353024058605,1
509.346370909368,158918.581784656,10.7209,"C29H48O7","O7","CHO",29,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508.339094457208,509.34728033946,-1.78902252921171,1.79,509,508.777630201321,0.222369798678983,6,0.241379310344828,1.6551724137931,-1,39.1030772221,36,0.9,60,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",210.755620025674,0.0147993328505986,1
493.134126662918,157864.345095883,4.63211666666667,"C23H24O12","O12","CHO",23,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,492.126850210758,493.13405268536,0.150322133293229,0.15,493,492.58348869163,0.416511308369536,12,0.521739130434783,1.04347826086957,0,37.8559058640923,35,0.9,48,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",209.357505944231,0.0147011567941221,1
480.279990575271,157799.07095155,5.20786666666667,"C22H41NO10","NO10","CHNO",22,41,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479.272714123111,480.28032299046,-0.693582544816742,0.69,480,479.743705647173,0.25629435282724,3,0.454545454545455,1.86363636363636,-7,36.8671574260231,33,0.9,46,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",209.270940278932,0.0146950781230336,1
209.117141667515,157609.302570516,3.72753333333333,"C12H16O3","O3","CHO",12,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208.109865215355,209.11722082946,-0.380385353810311,0.38,209,208.883639598964,0.116360401036417,5,0.25,1.33333333333333,2,16.0084572597923,15,0.9,26,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",209.019272082822,0.0146774058948781,1
375.144476961402,156761.798494904,4.00968333333333,"C20H22O7","O7","CHO",20,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,374.137200509242,375.14382951006,1.7305184876215,1.73,375,374.725587287042,0.274412712957826,10,0.35,1.1,3,28.7797348506077,27,0.9,42,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",207.895323926955,0.0145984818649354,1
263.127282313571,153520.662834116,4.65856666666667,"C15H18O4","O4","CHO",15,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.120005861411,263.12778551556,-1.91973896453288,1.92,263,262.83347203947,0.166527960529947,7,0.266666666666667,1.2,3,20.1631160818,19,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",203.596974746478,0.0142966502923195,1
281.247540756747,153177.444143851,10.2686166666667,"C18H32O2","O2","CHO",18,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280.240264304587,281.24750671756,0.121464297580842,0.12,281,280.933497240189,0.0665027598109305,3,0.111111111111111,1.77777777777778,1,21.5569407896462,20,0.9,38,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",203.141802877594,0.0142646879655687,1
