"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
5089.68546569125,167.144012496738,6.06573333333333,"C11H20O","O","CHO",11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.151288948898,167.14413880814,-0.751177126367165,0.75,167,166.957377999189,0.0426220008111216,2,0.0909090909090909,1.81818181818182,1,12.9347242507923,12,0.9,24,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous"
8174.08751277114,167.144078758908,7.51078333333333,"C11H20O","O","CHO",11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.151355211068,167.14413880814,-0.357114172190166,0.36,167,166.95744418737,0.0425558126300416,2,0.0909090909090909,1.81818181818182,1,12.9347242507923,12,0.9,24,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous"
52469.3651959007,169.050491079478,1.31633333333333,"C8H10O4","O4","CHO",8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.057767531638,169.05063235604,-0.830756301550848,0.83,169,168.861727790912,0.138272209088257,4,0.5,1.25,0,13.0813776006308,12,0.9,18,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
7025.88515594063,169.065470086637,8.93818333333333,"C12H10O","O","CHO",12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.072746538797,169.06588848914,-2.46013844975548,2.46,169,168.876690072377,0.1233099276225,8,0.0833333333333333,0.833333333333333,7,13.0825511493308,13,1,26,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
40777.3289731472,169.101998688625,4.11811666666667,"C13H14","","CH",13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.109275140785,169.10227399444,-1.61840566757492,1.62,169,168.913177886202,0.0868221137978082,7,0,1.07692307692308,7,13.0853500343538,13,1,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
13905.0834160269,169.102000705219,4.75555,"C13H14","","CH",13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.109277157379,169.10227399444,-1.60655095096354,1.61,169,168.913179900544,0.0868200994555366,7,0,1.07692307692308,7,13.0853500343538,13,1,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
51168.7648316177,169.102411917687,5.31366666666667,"C13H14","","CH",13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.109688369847,169.10227399444,0.810790075024585,0.81,169,168.913590653849,0.086409346151072,7,0,1.07692307692308,7,13.0853500343538,13,1,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
14849.1699575097,169.102662411095,4.99363333333333,"C13H14","","CH",13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.109938863255,169.10227399444,2.28332722705685,2.28,169,168.913840867554,0.0861591324462552,7,0,1.07692307692308,7,13.0853500343538,13,1,28,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
43229.6960592129,169.123025389348,6.06573333333333,"C10H18O2","O2","CHO",10,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.130301841508,169.12340336664,-2.22169294895028,2.22,169,168.934181108323,0.0658188916766846,2,0.2,1.8,0,13.0869753706769,12,0.9,22,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous"
8269.31490984071,171.029778551492,1.21935,"C7H8O5","O5","CHO",7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.037055003652,171.02989691454,-0.688009033786998,0.69,171,170.838805172852,0.161194827147654,4,0.714285714285714,1.14285714285714,-1,13.2336287205154,12,0.9,16,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
